Province,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Hubei,4161.20 ,4747.60 ,5412.20 ,5964.20 ,6654.00 ,7287.20 ,7947.40 ,8681.00 ,9471.80 ,10341.20 ,3092.00 ,3400.60 ,4002.80 ,4266.00 ,5041.60 ,5507.20 ,5981.20 ,6507.00 ,7065.40 ,7745.00 ,3226.00 ,2834.40 ,3976.00 ,3538.80 ,4428.60 ,4811.40 ,5206.00 ,5703.60 ,6154.20 ,6715.40 ,3111.40 ,3290.20 ,4102.00 ,4186.80 ,5005.00 ,5455.00 ,5947.00 ,6463.20 ,7002.20 ,7692.60 ,2951.20 ,3369.00 ,3808.60 ,3865.80 ,5172.60 ,5256.40 ,5758.80 ,6263.20 ,6789.40 ,7459.40 ,2957.60 ,3401.60 ,3861.40 ,4175.60 ,4552.60 ,4954.80 ,5397.20 ,5879.80 ,6348.40 ,6908.20 ,3054.20 ,3105.20 ,3925.60 ,3964.00 ,5299.60 ,5346.20 ,5784.00 ,6263.40 ,6755.80 ,7361.00 ,2759.20 ,3177.60 ,3867.20 ,3963.80 ,4582.40 ,5150.60 ,5587.80 ,6052.80 ,6537.00 ,7139.00 ,2941.60 ,2989.40 ,3642.20 ,3741.20 ,5186.00 ,5076.40 ,5533.20 ,5994.60 ,6518.00 ,7182.00 ,2567.20 ,2946.20 ,3353.00 ,3686.40 ,4648.40 ,4524.00 ,4959.20 ,5376.80 ,5795.60 ,6362.40 ,2804.40 ,2975.00 ,3643.60 ,3716.20 ,4751.60 ,4701.00 ,5167.80 ,5610.60 ,6067.40 ,6638.20 ,3056.00 ,3174.00 ,3634.20 ,3961.20 ,4587.80 ,4558.20 ,4959.80 ,5391.80 ,5847.40 ,6392.20 
Hunan,4562.78 ,5290.20 ,6057.58 ,6732.40 ,7365.20 ,7992.20 ,8658.80 ,9389.60 ,10158.38 ,11042.16 ,3928.56 ,4526.60 ,5183.16 ,5739.60 ,6267.60 ,6795.40 ,7365.60 ,7957.40 ,8573.37 ,9310.68 ,3611.90 ,4122.80 ,4709.81 ,4962.00 ,5413.60 ,5847.40 ,6321.40 ,6833.40 ,7373.30 ,7977.90 ,3126.96 ,3573.20 ,4076.04 ,4459.40 ,4874.00 ,5303.00 ,5769.60 ,6260.00 ,6748.25 ,7308.36 ,2339.55 ,2716.80 ,3091.42 ,3529.40 ,3868.20 ,4214.00 ,4599.20 ,5005.80 ,5433.34 ,5900.60 ,3462.38 ,3936.00 ,4422.20 ,4238.60 ,4624.20 ,5040.40 ,5509.20 ,6001.80 ,6485.01 ,7023.26 ,2541.05 ,2819.60 ,3128.17 ,3316.00 ,3611.00 ,3894.60 ,4206.00 ,4588.80 ,4965.06 ,5362.26 ,3079.68 ,3465.60 ,3952.97 ,3785.60 ,4137.60 ,4514.20 ,4949.00 ,5386.80 ,5824.66 ,6313.92 ,3068.33 ,3521.20 ,4003.12 ,4326.80 ,4724.20 ,5106.80 ,5546.00 ,6001.00 ,6481.14 ,7032.04 ,3008.25 ,3438.60 ,3934.14 ,3705.20 ,4035.00 ,4387.60 ,4805.20 ,5238.00 ,5694.01 ,6217.86 ,2504.64 ,2764.80 ,3133.26 ,3526.40 ,3841.00 ,4138.60 ,4510.80 ,4899.60 ,5340.65 ,5821.32 ,3005.04 ,3378.40 ,3838.89 ,3736.00 ,4064.80 ,4367.60 ,4733.80 ,5126.80 ,5583.25 ,6102.50 
Shanghai,6367.62 ,7246.10 ,8037.66 ,8770.28 ,9768.28 ,10592.38 ,11538.34 ,12519.14 ,13606.72 ,14723.06 ,5675.59 ,7717.38 ,6629.15 ,10591.72 ,9641.62 ,10292.74 ,12195.59 ,11195.00 ,14200.03 ,14252.69 ,5494.21 ,7970.48 ,6822.37 ,10126.56 ,9813.76 ,9901.87 ,12693.08 ,12177.39 ,13919.91 ,13483.74 ,4663.09 ,7876.39 ,5895.79 ,11479.93 ,9779.96 ,9108.54 ,12736.39 ,9997.88 ,14803.99 ,13468.74 ,5220.94 ,7088.05 ,4764.07 ,12145.65 ,8997.00 ,9102.15 ,13961.97 ,10814.72 ,15856.98 ,14206.11 ,5207.98 ,6062.05 ,5365.37 ,11525.23 ,9642.66 ,10030.07 ,14408.52 ,10462.03 ,13779.18 ,13948.59 ,4551.45 ,6645.07 ,5213.62 ,11101.29 ,9731.97 ,11753.53 ,14569.99 ,9896.14 ,13846.82 ,14777.94 ,4067.72 ,7962.35 ,5536.77 ,13472.01 ,11015.40 ,14401.13 ,15575.46 ,7926.35 ,12513.70 ,16087.59 ,4496.00 ,6315.74 ,5784.58 ,11606.01 ,8953.82 ,12500.17 ,15982.65 ,8600.21 ,14665.04 ,17174.74 ,5673.49 ,7999.18 ,6825.11 ,9964.35 ,8906.25 ,13582.67 ,15830.42 ,7383.06 ,14323.76 ,18374.98 ,6283.08 ,7175.90 ,7226.70 ,9701.23 ,7659.71 ,12708.21 ,14186.91 ,8625.60 ,17325.35 ,16925.15 ,6676.71 ,7864.22 ,7489.94 ,9912.47 ,8029.16 ,12765.69 ,14768.10 ,8501.78 ,16611.49 ,15767.95 
Guangdong,6131.70 ,6887.62 ,7610.70 ,8409.83 ,8590.92 ,9346.92 ,10188.14 ,11080.10 ,11996.42 ,13010.42 ,3604.12 ,4065.77 ,4636.73 ,5118.95 ,4316.66 ,4700.84 ,5170.93 ,5661.18 ,6057.47 ,6526.78 ,6476.17 ,7301.01 ,8148.38 ,8930.62 ,8189.60 ,8926.66 ,9738.99 ,10587.61 ,11508.73 ,12504.48 ,5076.32 ,5746.14 ,6595.64 ,7274.99 ,7057.46 ,7664.40 ,8507.49 ,9365.28 ,10142.60 ,11043.86 ,3035.72 ,3494.78 ,4004.71 ,4441.22 ,4289.18 ,4652.02 ,5024.17 ,5435.01 ,5815.46 ,6283.16 ,5448.94 ,6143.60 ,6915.94 ,7607.54 ,7310.94 ,7951.38 ,8624.06 ,9369.70 ,10147.38 ,11046.55 ,4230.50 ,4784.73 ,5403.32 ,5954.45 ,4995.24 ,5423.34 ,5911.43 ,6495.56 ,7093.16 ,7719.04 ,3061.01 ,3516.72 ,4045.46 ,4474.28 ,4263.48 ,4625.88 ,4977.44 ,5423.86 ,5809.26 ,6248.14 ,2872.05 ,3222.68 ,3606.83 ,4007.18 ,3908.10 ,4279.36 ,4664.51 ,5063.08 ,5432.69 ,5880.97 ,3366.47 ,3807.93 ,4350.88 ,4785.97 ,4345.16 ,4749.26 ,5181.44 ,5655.23 ,6135.92 ,6651.96 ,4713.05 ,5321.79 ,5993.00 ,6598.30 ,5459.92 ,6011.38 ,6642.57 ,7321.67 ,7914.72 ,8599.89 ,2945.53 ,3352.21 ,3739.83 ,4147.47 ,3969.12 ,4362.06 ,4728.48 ,5138.91 ,5477.05 ,5847.06 
Guangxi,3606.40 ,4001.00 ,4512.20 ,4963.40 ,5308.00 ,5706.20 ,6145.60 ,6643.40 ,7055.20 ,7535.00 ,3553.20 ,3923.00 ,4436.20 ,4871.00 ,5238.60 ,5636.80 ,6054.00 ,6532.20 ,6969.80 ,7471.60 ,3589.80 ,3976.40 ,4460.00 ,4910.40 ,5237.80 ,5620.20 ,6024.80 ,6506.80 ,6929.80 ,7435.60 ,3285.40 ,3647.80 ,4112.60 ,4507.40 ,4788.80 ,5109.60 ,5452.00 ,5871.80 ,6241.80 ,6703.60 ,3359.60 ,3731.20 ,4240.40 ,4681.40 ,5123.60 ,5502.80 ,5882.40 ,6382.40 ,6865.00 ,7320.40 ,3566.20 ,3944.40 ,4440.60 ,4884.60 ,5145.40 ,5515.80 ,5951.60 ,6415.80 ,6865.00 ,7277.00 ,3471.20 ,3849.60 ,4320.00 ,4739.00 ,5100.20 ,5472.60 ,5872.00 ,6283.00 ,6697.60 ,7146.40 ,3106.20 ,3403.40 ,3862.80 ,4272.20 ,4650.40 ,4976.00 ,5354.20 ,5761.20 ,6101.20 ,6583.20 ,3528.40 ,3918.00 ,4434.20 ,4873.20 ,5196.80 ,5617.80 ,6016.60 ,6431.80 ,6792.00 ,7226.60 ,3195.20 ,3476.80 ,3912.20 ,4291.60 ,4671.80 ,5008.20 ,5383.80 ,5825.20 ,6122.20 ,6556.80 ,3160.40 ,3521.20 ,3971.00 ,4336.40 ,4722.60 ,5043.80 ,5376.60 ,5779.80 ,6172.80 ,6635.80 ,2977.80 ,3289.60 ,3592.80 ,3930.60 ,4176.00 ,4447.40 ,4732.00 ,5129.40 ,5493.60 ,5933.00 
Sichuan,3983.91 ,4609.60 ,5318.00 ,5993.60 ,6533.00 ,6695.17 ,7180.40 ,7783.60 ,8425.60 ,9175.60 ,2907.53 ,3370.40 ,3889.40 ,4297.80 ,4710.40 ,5253.37 ,5691.00 ,6203.20 ,6719.40 ,7324.40 ,3376.35 ,3947.00 ,4561.60 ,4981.20 ,5464.40 ,6072.32 ,6572.00 ,7124.00 ,7702.00 ,8372.80 ,3101.07 ,3576.80 ,4149.20 ,4564.20 ,5048.00 ,5331.11 ,5791.80 ,6289.80 ,6828.20 ,7450.40 ,3240.43 ,3874.20 ,4474.80 ,4940.20 ,5399.60 ,5409.80 ,5831.80 ,6321.80 ,6843.20 ,7444.40 ,3103.19 ,3599.60 ,4151.00 ,4620.00 ,5068.20 ,5434.08 ,5881.40 ,6364.40 ,6882.20 ,7490.80 ,2501.76 ,2927.00 ,3402.40 ,3742.60 ,4109.40 ,4725.67 ,5152.40 ,5626.40 ,6118.40 ,6696.20 ,2755.69 ,3218.60 ,3743.20 ,4147.40 ,4558.00 ,5002.31 ,5392.40 ,5861.60 ,6366.00 ,6970.80 ,2864.88 ,3320.40 ,3828.40 ,4222.80 ,4632.40 ,5157.32 ,5597.20 ,6078.60 ,6596.40 ,7211.80 ,3047.40 ,3528.80 ,4079.40 ,4532.20 ,4958.20 ,5272.13 ,5716.60 ,6214.00 ,6732.60 ,7335.20 ,2527.63 ,2959.60 ,3445.00 ,3841.20 ,4244.60 ,4790.04 ,5198.60 ,5666.60 ,6162.00 ,6749.80 ,2928.88 ,3407.60 ,3953.20 ,4380.20 ,4827.00 ,5278.95 ,5738.20 ,6226.00 ,6739.40 ,7348.60 
Yunnan,3775.20 ,4393.20 ,5116.20 ,5747.40 ,6259.00 ,6791.00 ,7347.80 ,7957.60 ,8597.60 ,9257.80 ,3188.00 ,3681.60 ,4088.40 ,4587.20 ,5004.60 ,5420.00 ,5897.00 ,6386.40 ,6884.60 ,7462.80 ,3294.20 ,3705.40 ,4356.20 ,4945.20 ,5444.60 ,5926.20 ,6435.40 ,6976.00 ,7530.00 ,8154.00 ,2871.20 ,3245.80 ,3776.60 ,4305.60 ,4727.60 ,5129.40 ,5560.20 ,6032.80 ,6527.20 ,7070.20 ,2459.00 ,2814.60 ,3218.00 ,3675.20 ,4006.00 ,4354.60 ,4729.00 ,5112.00 ,5526.40 ,5986.00 ,2748.00 ,3162.40 ,3781.40 ,4310.80 ,4750.40 ,5160.60 ,5619.80 ,6080.60 ,6580.60 ,7133.40 ,2694.20 ,2975.40 ,3509.20 ,3896.00 ,4211.60 ,4566.00 ,4959.00 ,5370.60 ,5817.60 ,6291.20 ,2571.40 ,2831.80 ,3162.00 ,3579.40 ,3905.20 ,4245.00 ,4614.40 ,5011.20 ,5432.20 ,5904.80 ,4499.01 ,4107.04 ,4818.28 ,5435.14 ,5924.93 ,7498.12 ,6761.36 ,8101.91 ,8979.05 ,8379.15 ,3335.91 ,3079.59 ,4493.02 ,5191.97 ,4477.42 ,4570.55 ,4463.66 ,6613.90 ,6524.22 ,6821.20 ,3548.00 ,3985.93 ,3540.62 ,5033.54 ,6227.63 ,6541.56 ,6311.30 ,8156.34 ,8232.14 ,7981.65 ,2736.63 ,2970.78 ,3757.07 ,4974.77 ,5176.18 ,3956.55 ,5888.40 ,6241.68 ,5359.09 ,6777.43 
Gansu,2812.37 ,3190.51 ,3688.55 ,4153.35 ,4606.02 ,5417.60 ,5932.28 ,6466.20 ,7002.80 ,7619.00 ,3348.33 ,3786.26 ,4401.17 ,4858.90 ,5378.80 ,6142.80 ,6707.94 ,7298.20 ,7925.80 ,8520.20 ,3535.72 ,4014.88 ,4659.02 ,4757.28 ,5252.04 ,5934.00 ,6414.70 ,6934.40 ,7496.00 ,8110.60 ,2842.64 ,3191.99 ,3706.54 ,3655.95 ,4010.56 ,4687.60 ,5062.61 ,5493.00 ,5894.00 ,6353.80 ,2301.35 ,2610.21 ,3035.46 ,3378.46 ,3712.92 ,4161.80 ,4536.76 ,4922.40 ,5316.20 ,5741.40 ,2310.16 ,2652.21 ,3079.48 ,3473.66 ,3807.12 ,4340.40 ,4722.35 ,5114.40 ,5533.60 ,6009.60 ,2171.06 ,2479.92 ,2878.95 ,3175.48 ,3477.16 ,3934.60 ,4300.52 ,4661.80 ,5053.40 ,5493.00 ,2353.12 ,2670.92 ,3101.16 ,3470.20 ,3817.22 ,4298.00 ,4689.26 ,5083.00 ,5489.60 ,5928.80 ,3020.72 ,3453.04 ,4012.41 ,4477.84 ,4930.12 ,5558.60 ,6014.42 ,6495.60 ,7047.80 ,7646.80 ,2490.56 ,2877.63 ,3332.31 ,3752.18 ,4127.40 ,4685.20 ,5060.02 ,5495.20 ,5929.20 ,6421.40 ,2158.05 ,2457.93 ,2856.17 ,3144.63 ,3443.38 ,3833.40 ,4163.08 ,4508.60 ,4860.40 ,5244.40 ,2124.55 ,2424.72 ,2815.34 ,3110.95 ,3400.26 ,3783.00 ,4100.77 ,4437.00 ,4756.40 ,5122.60 
Qinghai,3026.60 ,3404.20 ,3789.20 ,4178.20 ,4575.00 ,5040.40 ,5501.00 ,6001.40 ,6492.00 ,6969.20 ,2741.00 ,3120.60 ,3538.20 ,3884.80 ,4241.60 ,4672.20 ,5096.00 ,5544.80 ,5971.40 ,6392.40 ,2898.35 ,2959.97 ,4255.09 ,4447.47 ,3486.46 ,5752.24 ,5126.95 ,6371.28 ,4962.79 ,7213.54 ,3057.65 ,2845.31 ,3545.84 ,3874.62 ,3640.03 ,5084.97 ,5390.93 ,5563.53 ,5425.39 ,7044.68 ,3203.97 ,2649.86 ,4766.94 ,3725.02 ,3051.70 ,5994.07 ,5375.28 ,6739.98 ,5774.61 ,6707.88 ,3035.64 ,2831.91 ,3196.70 ,3999.11 ,4161.81 ,5421.16 ,4971.03 ,6674.86 ,5170.71 ,7863.38 ,3373.15 ,2849.39 ,4688.93 ,3517.27 ,3262.60 ,5368.97 ,4905.54 ,6696.91 ,6179.44 ,6354.90 ,3243.57 ,2727.62 ,2607.84 ,4182.03 ,4131.41 ,5037.04 ,5266.84 ,6192.59 ,5370.63 ,8514.97 ,3629.97 ,2746.39 ,5107.81 ,3318.38 ,3242.80 ,4443.32 ,4833.11 ,6823.51 ,6346.83 ,6893.00 ,3313.41 ,2819.62 ,2724.33 ,4805.61 ,3906.14 ,5388.87 ,5425.15 ,6591.50 ,4898.56 ,8290.91 ,3349.29 ,2651.13 ,5193.59 ,2852.93 ,3658.85 ,4729.36 ,4501.47 ,6885.10 ,6132.11 ,6830.75 ,3109.78 ,2923.67 ,2708.60 ,3878.11 ,4144.08 ,5529.32 ,5354.43 ,6360.61 ,4294.30 ,7158.90 
Chongqing,3506.48 ,4049.94 ,4593.62 ,5043.22 ,5029.44 ,5447.76 ,5922.00 ,6438.64 ,6977.86 ,7587.72 ,2897.07 ,3968.05 ,4202.47 ,4785.14 ,4775.48 ,4995.35 ,6801.07 ,6929.81 ,6310.35 ,7538.64 ,2425.81 ,3859.93 ,3719.33 ,5934.29 ,4678.70 ,4806.24 ,6446.63 ,8858.20 ,6059.55 ,7386.31 ,2475.13 ,3480.62 ,3745.49 ,5456.99 ,4310.34 ,4098.72 ,6150.17 ,9390.34 ,6878.94 ,7192.69 ,2514.25 ,3350.50 ,4063.70 ,4121.30 ,4071.25 ,3931.74 ,6088.09 ,9590.83 ,6748.51 ,7795.29 ,2453.31 ,3613.26 ,3996.51 ,4445.33 ,3806.59 ,3367.12 ,5388.84 ,11501.29 ,6670.44 ,6614.19 ,2184.47 ,3350.15 ,4259.20 ,4942.70 ,3367.41 ,2987.29 ,6096.49 ,9839.95 ,7793.81 ,6760.07 ,2158.86 ,3363.48 ,3831.49 ,5264.16 ,2892.75 ,2939.03 ,5618.21 ,10007.43 ,8539.63 ,6481.56 ,2509.80 ,3169.45 ,3865.57 ,6439.55 ,2777.54 ,2873.23 ,6249.06 ,8897.00 ,7307.92 ,6148.47 ,2360.81 ,3307.51 ,4340.08 ,7670.52 ,2759.49 ,2989.32 ,6516.88 ,8004.84 ,8071.39 ,5450.63 ,2397.12 ,3359.01 ,4263.65 ,6942.45 ,2132.71 ,2901.01 ,7740.94 ,7502.23 ,6566.00 ,5130.09 ,2440.94 ,3049.49 ,4555.47 ,7552.95 ,1999.34 ,2119.61 ,7558.53 ,7340.37 ,6545.73 ,5366.24 
